iter	Passed	Remaining
980	7058	136
981	7066	129
982	7072	122
983	7080	115
984	7087	107
985	7094	100
986	7101	93
987	7109	86
988	7116	79
989	7124	71
990	7130	64
991	7137	57
992	7145	50
993	7151	43
994	7158	35
995	7166	28
996	7173	21
997	7180	14
998	7187	7
999	7195	0
